"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W50_99","50-99","2020","2020",62.11,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W100_249","100-249","2014","2014",33.89,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W100_249","100-249","2016","2016",23.66,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W100_249","100-249","2018","2018",30.22,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W100_249","100-249","2020","2020",69.17,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE250","250 and over","2014","2014",35.2,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE250","250 and over","2016","2016",31.4,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE250","250 and over","2018","2018",40.19,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0034","total non financial services (g-n, including 951 and excluding 75 and  k)","W_GE250","250 and over","2020","2020",69.01,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W10_49","10-49","2014","2014",34.66,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W10_49","10-49","2016","2016",17.42,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W10_49","10-49","2018","2018",16.99,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W10_49","10-49","2020","2020",55.4,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2014","2014",34.51,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2016","2016",18.21,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2018","2018",18.55,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE10","10 and over","2020","2020",56.52,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W50_99","50-99","2014","2014",35.17,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W50_99","50-99","2016","2016",22.93,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W50_99","50-99","2018","2018",25.56,,
